-2_TITLE	Time Out
-2_MESSAGE	Connection timed out
-1_TITLE	Error 002
-1_MESSAGE	Your device has encountered an error. Returning to title screen.
0_TITLE	Error
1_TITLE	Error 001
1_MESSAGE	An unknown error has occurred
2_TITLE	Notice
2_MESSAGE	Please update "THE ALCHEMIST CODE" to the latest version.
3_TITLE	Notice
3_MESSAGE	New download content available
4_TITLE	Version Settings
4_MESSAGE	Please update "THE ALCHEMIST CODE" to the latest version.
200_TITLE	Maintenance Notice
200_MESSAGE	Scheduled Maintenance. The game will be inaccessible during the time period above. To prevent any data loss, please refrain from trying to access the game then. For more updates, check out our Facebook page.
201_TITLE	Maintenance Notice
201_MESSAGE	Chat function is currently under maintenance. Please wait until end of maintenance.
202_TITLE	Maintenance Notice
202_MESSAGE	Multiplay function is currently under maintenance. Please wait until end of maintenance.
203_TITLE	Maintenance Notice
203_MESSAGE	VS Mode function is currently under maintenance. Please wait until end of maintenance.
300_TITLE	Error 300
300_MESSAGE	Unknown transmission has occurred
400_TITLE	Error 400
400_MESSAGE	Unknown transmission has occurred
1000_TITLE	Attention
1000_MESSAGE	Download has failed
1100_TITLE	Notice
1100_MESSAGE	Please update "THE ALCHEMIST CODE" to the latest version.
1200_TITLE	Session Failure
1200_MESSAGE	Initial connection failed
1300_TITLE	Registration Closed
1300_MESSAGE	New player registration is currently closed
1301_TITLE	Notice
1301_MESSAGE	Please wait until tomorrow
1400_TITLE	Name Prohibited
1400_MESSAGE	Please use a different name
1451_TITLE	Duplicate Name
1451_MESSAGE	This name already exists
1402_TITLE	Name Error
1402_MESSAGE	You are currently using this name
1403_TITLE	Same Name
1500_TITLE	No Mail Found
1500_MESSAGE	No corresponding messages found
1501_TITLE	Mail Read
1501_MESSAGE	Message already read
1600_TITLE	Friend Limit Max
1600_MESSAGE	Maximum friend limit reached
1601_TITLE	Friend List Full
1601_MESSAGE	Cannot approve, because this player's friend list is full
1602_TITLE	Friend Not Found
1602_MESSAGE	No corresponding friends
1700_TITLE	Friend Not Found
1700_MESSAGE	No corresponding friends
1701_TITLE	Attention
1701_MESSAGE	You cannot send yourself a friend request
1800_TITLE	Attention
1800_MESSAGE	Specified unit does not exist
1801_TITLE	Attention
1801_MESSAGE	Party setup is invalid
1900_TITLE	Attention
1900_MESSAGE	You don't have any items
2000_TITLE	Attention
2000_MESSAGE	You don't have an evolve recipe
2001_TITLE	Attention
2001_MESSAGE	You don't meet the Player Lv req for this enhancement
2100_TITLE	Attention
2100_MESSAGE	You don't have any Shards
2101_TITLE	Attention
2101_MESSAGE	You don't meet the Player Lv req for this enhancement
2200_TITLE	Attention
2200_MESSAGE	Failed to enhance ability
2201_TITLE	Attention
2201_MESSAGE	Ability not found
2300_TITLE	Attention
2300_MESSAGE	Cannot change job
2301_TITLE	Attention
2301_MESSAGE	Cannot change job
2302_TITLE	Attention
2302_MESSAGE	Cannot change job
2400_TITLE	Attention
2400_MESSAGE	Cannot change ability
2401_TITLE	Attention
2401_MESSAGE	Cannot change ability
2402_TITLE	Attention
2402_MESSAGE	Cannot change ability
2500_TITLE	Attention
2500_MESSAGE	Cannot equip
2501_TITLE	Attention
2501_MESSAGE	No equip items
2502_TITLE	Attention
2502_MESSAGE	Already equipped
2600_TITLE	Attention
2600_MESSAGE	Cannot enhance
2601_TITLE	Attention
2601_MESSAGE	Cannot enhance
2602_TITLE	Attention
2602_MESSAGE	Enhance limit reached
2603_TITLE	Attention
