UN_V2_LOGI_TRUTH_EQUIPMENT_INAME	TE_LOGI
UN_V2_DIOS_TRUTH_EQUIPMENT_INAME	TE_DIOS
UN_V2_EDGAR_TRUTH_EQUIPMENT_INAME	TE_EDGAR
UN_V2_LIESBET_TRUTH_EQUIPMENT_INAME	TE_LIESBET
UN_V2_TINA_TRUTH_EQUIPMENT_INAME	TE_TINA
UN_V2_AMANE_TRUTH_EQUIPMENT_INAME	TE_AMANE
UN_V2_KAMUI_TRUTH_EQUIPMENT_INAME	TE_KAMUI
UN_V2_ALAIA_TRUTH_EQUIPMENT_INAME	TE_ALAIA
UN_V2_LUCIDO_TRUTH_EQUIPMENT_INAME	TE_LUCIDO
UN_V2_RIGARUTO_TRUTH_EQUIPMENT_INAME	TE_RIGARUTO
UN_V2_RINN_TRUTH_EQUIPMENT_INAME	TE_RINN
UN_V2_GAIN_TRUTH_EQUIPMENT_INAME	TE_GAIN
UN_V2_ALEXIS_TRUTH_EQUIPMENT_INAME	TE_ALEXIS
UN_V2_POLLIN_TRUTH_EQUIPMENT_INAME	TE_POLLIN
UN_V2_ANJOU_TRUTH_EQUIPMENT_INAME	TE_ANJOU
UN_V2_MEILY_TRUTH_EQUIPMENT_INAME	TE_MEILY
UN_V2_ALFRED_TRUTH_EQUIPMENT_INAME	TE_ALFRED
UN_V2_MELIA_TRUTH_EQUIPMENT_INAME	TE_MELIA
UN_V2_RUNBELL_TRUTH_EQUIPMENT_INAME	TE_RUNBELL
UN_V2_GATH_TRUTH_EQUIPMENT_INAME	TE_GATH
UN_V2_HAZUKI_TRUTH_EQUIPMENT_INAME	TE_HAZUKI
UN_V2_JAKE_TRUTH_EQUIPMENT_INAME	TE_JAKE
UN_V2_RICHE_TRUTH_EQUIPMENT_INAME	TE_RICHE
UN_V2_ELAINE_TRUTH_EQUIPMENT_INAME	TE_ELAINE
UN_V2_VANEKIS_TRUTH_EQUIPMENT_INAME	TE_VANEKIS
UN_V2_AMIS_TRUTH_EQUIPMENT_INAME	TE_AMIS
UN_V2_ISHUNA_TRUTH_EQUIPMENT_INAME	TE_ISHUNA
UN_V2_MIZUCHI_TRUTH_EQUIPMENT_INAME	TE_MIZUCHI
UN_V2_KAZAHAYA_TRUTH_EQUIPMENT_INAME	TE_KAZAHAYA
UN_V2_CIEL_TRUTH_EQUIPMENT_INAME	TE_CIEL
UN_V2_YUAN_TRUTH_EQUIPMENT_INAME	TE_YUAN
UN_V2_DECEL_TRUTH_EQUIPMENT_INAME	TE_DECEL
UN_V2_ENNIS_TRUTH_EQUIPMENT_INAME	TE_ENNIS
UN_V2_ANNEROSE_TRUTH_EQUIPMENT_INAME	TE_ANNEROSE
UN_V2_GAYN_TRUTH_EQUIPMENT_INAME	TE_GAYN
UN_V2_AYLLU_TRUTH_EQUIPMENT_INAME	TE_AYLLU
UN_V2_SARAUZU_TRUTH_EQUIPMENT_INAME	TE_SARAUZU
UN_V2_RION_TRUTH_EQUIPMENT_INAME	TE_RION
UN_V2_PATTI_TRUTH_EQUIPMENT_INAME	TE_PATTI
UN_V2_ALMILA_TRUTH_EQUIPMENT_INAME	TE_ALMILA
UN_V2_MICHAEL_TRUTH_EQUIPMENT_INAME	TE_MICHAEL
UN_V2_ARKILL_TRUTH_EQUIPMENT_INAME	TE_ARKILL
UN_V2_KUON_TRUTH_EQUIPMENT_INAME	TE_KUON
UN_V2_MIANNU_TRUTH_EQUIPMENT_INAME	TE_MIANNU
UN_V2_MARE_TRUTH_EQUIPMENT_INAME	TE_MARE
UN_V2_CELINE_TRUTH_EQUIPMENT_INAME	TE_CELINE
UN_V2_FREED_TRUTH_EQUIPMENT_INAME	TE_FREED
UN_V2_DILGA_TRUTH_EQUIPMENT_INAME	TE_DILGA
UN_V2_SUTORIE_TRUTH_EQUIPMENT_INAME	TE_SUTORIE
UN_V2_CHIHAYA_TRUTH_EQUIPMENT_INAME	TE_CHIHAYA
UN_V2_ROFIA_TRUTH_EQUIPMENT_INAME	TE_ROFIA
UN_V2_LAMIA_TRUTH_EQUIPMENT_INAME	TE_LAMIA
UN_V2_ZANGETSU_TRUTH_EQUIPMENT_INAME	TE_ZANGETSU
UN_V2_MEGISTOS_TRUTH_EQUIPMENT_INAME	TE_MEGISTOS
UN_V2_LUCIA_TRUTH_EQUIPMENT_INAME	TE_LUCIA
UN_V2_CHALICE_TRUTH_EQUIPMENT_INAME	TE_CHALICE
UN_V2_RAHU_TRUTH_EQUIPMENT_INAME	TE_RAHU
UN_V2_ANASTASIA_TRUTH_EQUIPMENT_INAME	TE_ANASTASIA
UN_V2_ZAHAR_TRUTH_EQUIPMENT_INAME	TE_ZAHAR
UN_V2_CLOE_TRUTH_EQUIPMENT_INAME	TE_CLOE
UN_V2_YOMI_TRUTH_EQUIPMENT_INAME	TE_YOMI
UN_V2_VETTEL_TRUTH_EQUIPMENT_INAME	TE_VETTEL
UN_V2_TYRHUNG_TRUTH_EQUIPMENT_INAME	TE_TYRHUNG
UN_V2_LAEVATEINN_TRUTH_EQUIPMENT_INAME	TE_LAEVATEINN
UN_V2_VARGAS_TRUTH_EQUIPMENT_INAME	TE_VARGAS
UN_V2_SELENA_TRUTH_EQUIPMENT_INAME	TE_SELENA
UN_V2_ELIZABETH_TRUTH_EQUIPMENT_INAME	TE_ELIZABETH
UN_V2_MAGNUS_TRUTH_EQUIPMENT_INAME	TE_MAGNUS
UN_V2_FLAMEL_TRUTH_EQUIPMENT_INAME	TE_FLAMEL
UN_V2_BALT_TRUTH_EQUIPMENT_INAME	TE_BALT
UN_V2_MIELIKKI_TRUTH_EQUIPMENT_INAME	TE_MIELIKKI
UN_V2_MERDA_TRUTH_EQUIPMENT_INAME	TE_MERDA
UN_V2_RETZIUS_TRUTH_EQUIPMENT_INAME	TE_RETZIUS
UN_V2_SABALETA_TRUTH_EQUIPMENT_INAME	TE_SABALETA
UN_V2_REGEN_TRUTH_EQUIPMENT_INAME	TE_REGEN
UN_V2_ROSA_TRUTH_EQUIPMENT_INAME	TE_ROSA
UN_V2_EVE_TRUTH_EQUIPMENT_INAME	TE_EVE
UN_V2_FRAISE_TRUTH_EQUIPMENT_INAME	TE_FRAISE
UN_V2_HAYATE_TRUTH_EQUIPMENT_INAME	TE_HAYATE
UN_V2_VELOZ_TRUTH_EQUIPMENT_INAME	TE_VELOZ
UN_V2_LUCRETIA_TRUTH_EQUIPMENT_INAME	TE_LUCRETIA
UN_V2_SUZUKA_TRUTH_EQUIPMENT_INAME	TE_SUZUKA
