TS_ENVYRIA_VETTEL_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_ENVYRIA_VETTEL_01
TS_ENVYRIA_VETTEL_01_CNDS_INAME	CARD_CNDS_HIEN_NIGHT
TS_ENVYRIA_VETTEL_01_FILTER_KEYWORD	ヴェテル,ナタリー,ジェラルド
TS_ENVYRIA_VETTEL_01_CNDS_INAME	CARD_CNDS_VETT_GERA_NATA
TS_ENVYRIA_VETTEL_01_CNDS_INAME	CARD_CNDS_ENVIRIA
TS_ENVYRIA_VETTEL_01_ABIL_INAME	AB_01_ENVYRIA_VETTEL_01
TS_ENVYRIA_VETTEL_01_CNDS_INAME	CARD_CNDS_UROBOROS_1
TS_ENVYRIA_VETTEL_01_ABIL_INAME	AB_01_ENVYRIA_VETTEL_01
TS_ENVYRIA_VETTEL_01_ABIL_INAME	AB_02_ENVYRIA_VETTEL_01
TS_ENVYRIA_VETTEL_01_CNDS_INAME	CARD_CNDS_VETT_GERA_NATA_UROB
TS_ENVYRIA_VETTEL_01_ABIL_INAME	AB_ENVYRIA_VETTEL_01_MAX_SPD_VA_NON
TS_ENVYRIA_VETTEL_01_ABIL_INAME_LVMAX	AB_ENVYRIA_VETTEL_01_MAX_SPD_VA
TS_ENVYRIA_VETTEL_01_CNDS_INAME	CARD_CNDS_VETT
TS_ENVYRIA_CLOE_01_EXTRA_RARITY_INAME	CARD_EXTRA_TS_ENVYRIA_CLOE_01
TS_ENVYRIA_CLOE_01_CNDS_INAME	CARD_CNDS_HIEN_NIGHT
TS_ENVYRIA_CLOE_01_FILTER_KEYWORD	クロエ,レン,闇クロエ,ダークファントム
TS_ENVYRIA_CLOE_01_CNDS_INAME	CARD_CNDS_CLOE_LENN
TS_ENVYRIA_CLOE_01_CNDS_INAME	CARD_CNDS_ENVIRIA
TS_ENVYRIA_CLOE_01_ABIL_INAME	AB_01_ENVYRIA_CLOE_01
TS_ENVYRIA_CLOE_01_CNDS_INAME	CARD_CNDS_UROBOROS_1
TS_ENVYRIA_CLOE_01_ABIL_INAME	AB_01_ENVYRIA_CLOE_01
TS_ENVYRIA_CLOE_01_ABIL_INAME	AB_02_ENVYRIA_CLOE_01
TS_ENVYRIA_CLOE_01_CNDS_INAME	CARD_CNDS_CLOE_LENN_UROB
TS_ENVYRIA_CLOE_01_ABIL_INAME	AB_ENVYRIA_CLOE_01_MAX_SPD_VA_NON
TS_ENVYRIA_CLOE_01_ABIL_INAME_LVMAX	AB_ENVYRIA_CLOE_01_MAX_SPD_VA
TS_ENVYRIA_CLOE_01_CNDS_INAME	CARD_CNDS_CLOE
TS_ENVYRIA_FAIRLILY_01_CNDS_INAME	CARD_CNDS_ENVIRIA
TS_ENVYRIA_FAIRLILY_01_FILTER_KEYWORD	フェアリリィ,クリーマ,エマ
TS_ENVYRIA_FAIRLILY_01_CNDS_INAME	CARD_CNDS_UROBOROS_2
TS_ENVYRIA_FAIRLILY_01_CNDS_INAME	CARD_CNDS_VAVEL_WEA
TS_ENVYRIA_SHAYNA_01_CNDS_INAME	CARD_CNDS_ENVIRIA
TS_ENVYRIA_SHAYNA_01_FILTER_KEYWORD	シェイナ,スズカ
TS_ENVYRIA_SHAYNA_01_CNDS_INAME	CARD_CNDS_UROBOROS_2
TS_ENVYRIA_SHAYNA_01_CNDS_INAME	CARD_CNDS_SYAINA_SUZUKA
TS_ENVYRIA_LGDSAG_01_CNDS_INAME	CARD_CNDS_ENVIRIA
TS_ENVYRIA_LGDSAG_01_FILTER_KEYWORD	ロギ,ディオス
TS_ENVYRIA_LGDSAG_01_CNDS_INAME	CARD_CNDS_UROBOROS_2
TS_ENVYRIA_LGDSAG_01_CNDS_INAME	CARD_CNDS_LOGI_DIOS_AGATHA
TS_ENVYRIA_ELIZABETH_01_CNDS_INAME	CARD_CNDS_ENVIRIA
TS_ENVYRIA_ELIZABETH_01_FILTER_KEYWORD	エリザベス,デセル,マリアンヌ
TS_ENVYRIA_ELIZABETH_01_CNDS_INAME	CARD_CNDS_UROBOROS_2
TS_ENVYRIA_ELIZABETH_01_CNDS_INAME	CARD_CNDS_ERIZ_DECE_MARI
TS_ENVYRIA_MONZOTM_01_CNDS_INAME	CARD_CNDS_SEIKYOU_NIGHT
TS_ENVYRIA_MONZOTM_01_FILTER_KEYWORD	モンゼイン,オーティマ,闇オーティマ,ダークファントム,金塊
TS_ENVYRIA_MONZOTM_01_CNDS_INAME	CARD_CNDS_MONZ_OTMA
TS_ENVYRIA_MARGARET_01_CNDS_INAME	CARD_CNDS_ENVIRIA
TS_ENVYRIA_MARGARET_01_FILTER_KEYWORD	エリザベス,マーガレット,アルケミィポット金
