IT_US_FATE_TAIYAKI_EXPR	3ターンの間、クロックアップ状態にする
IT_US_FATE_TAIYAKI_FLAVOR	商店街に出没する屋台「江戸前屋」の作<br>るたい焼き。値段のわりに尻尾まで餡が<br>詰まっていることから、学生の間で絶大<br>な人気を誇る一品。ふんわり柔らかく、<br>冷めてもそこそこ美味しいらしい。
IT_US_FATE_SANDWICH_EXPR	死の宣告以外の状態異常を回復&HPを割合小回復する
IT_US_FATE_SANDWICH_FLAVOR	遠坂凛が作ったスペシャルな一品。早起<br>きして用意された力作のサンドイッチ。<br>料理上手も認める美味しさで、宣言通り<br>のスペシャルな味に仕上がっている。
IT_UG_APPLE_FATE_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_FATE_FLAVOR	魔力が込められたといわれる林檎。手に<br>持つとその力は受け継がれ、永遠に使用<br>者の中で生き続けるという。魔力を込め<br>られた林檎は、命運を好転させるとされ<br>、非常にレアな代物。
IT_UG_APPLE_PUNK_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_PUNK_FLAVOR	デュリンが研究の記憶を込めたと言われ<br>る林檎。手に持つと記憶が受け継がれ、<br>永遠に使用者の中で生き続ける。林檎の<br>妖精に見えるが、そのことを口にすると<br>「誰が妖精よ！」と怒り出すので注意。
IT_UG_APPLE_SHINOBI_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_SHINOBI_FLAVOR	シノビの国の記憶を込めたと言われる林<br>檎。手に持つと記憶が受け継がれ、永遠<br>に使用者の中で生き続ける。絡繰仕掛け<br>で勝手に動くため、目を離すとどこかに<br>旅立つ恐れがあるので気をつけよう。
IT_UG_APPLE_SB_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_SB_FLAVOR	盾の勇者一行の旅と戦いの記憶を込めた<br>といわれる林檎。手に持つとその記憶は<br>受け継がれ、永遠に使用者の中で生き続<br>けるという。盾の勇者の命令で神鳥が運<br>ぶ商品だが、時々食べてしまうらしい。
IT_UG_APPLE_RE0_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_RE0_FLAVOR	魔女の残り香をまとう少年の、ハーフエ<br>ルフの少女を守る戦いの記憶が込められ<br>た林檎。手に持つとその記憶は受け継が<br>れ、永遠に使用者の中で生き続けるとい<br>う。パックが管理しているのだとか。
IT_US_DIS_ELIXIR_EXPR	ユニットのHPを割合大回復する＆次ターンでジュエルが小回復する
IT_US_DIS_ELIXIR_FLAVOR	魔界でトップクラスに回復効果が高いと<br>評判の一品。魔族の体力や気力をたちま<br>ちに回復させるアイテムであり、希少価<br>値も高い。とある魔界には、これをふん<br>だんに使用して作るカレーがあるとか。
IT_US_DIS_KAMIWAZA_EXPR	敵に使用すると、敵の物攻魔攻を下げて自分の物攻魔攻を上昇させる(ステータスを盗む)
IT_US_DIS_KAMIWAZA_FLAVOR	魔界の有名な盗賊の手形を模したとされ<br>る手袋。名前の通り、まさに神の如き技<br>を発揮できるアイテムで、盗める対象は<br>物理攻撃力と魔法攻撃力。さらに盗んだ<br>分は自分の力として扱うことができる。
IT_US_FF_CONS_STEW_EXPR	物攻アップ&HPを割合大回復
IT_US_FF_CONS_STEW_FLAVOR	凶暴なモンスターの肉や野菜がゴロゴロ<br>と入ったビーフシチュー。下味を念入り<br>につけたり、焦がさないようにつきっき<br>りで鍋を混ぜたりと大変だが、その甲斐<br>もあり、味は折り紙つきなのだとか。
IT_US_SQ_RESIST_MIST_EXPR	自身を中心に全属性耐性+10[範囲:十字1マス,高低差:2]
IT_US_SQ_RESIST_MIST_FLAVOR	全ての属性のダメージを軽減する霧。高<br>圧縮され、魔法の膜でコーティングされ<br>ている。包んでいる植物のつるを引くと<br>膜が弾け、即座に霧散し使用者はあらゆ<br>る属性への耐性を持つ。
IT_US_FF_STEAK_EXPR	ユニットの最大HP上昇&HP上昇分回復
IT_US_FF_STEAK_FLAVOR	料理好きなイグニスが、クイーンガルラ<br>の肉を丹精込めてじっくり焼き上げた特<br>製のステーキプレート。ニンニクとソー<br>スの香りが食欲をそそる一品。一口食べ<br>れば疲れきった体も一瞬で復活する。
IT_US_AOT_POTATO_EXPR	3ターン自身を中心とした範囲内の味方の全攻撃に巨体特効付与[範囲:十字1マス,高低差:2]
