TITLE	幫助
BACK_BUTTON	返回
MENU_L_NUM	11
MENU_NUM	118
MENU_CATE_0	挑戰任務說明
MENU_0	挑戰任務說明
MAIN_TITLE_0	挑戰任務說明
MAIN_TEXT_0	1個寶箱由9個任務做構成的任務。<br>通關後不僅能得到獎勵，而且！現在顯示的任務全部通過的話寶箱就會打開，就能得到豪華的完成獎勵。
MENU_CATE_1	世界觀
MENU_1	所謂《為了誰的鍊金術師》是？
MAIN_TITLE_1	所謂《為了誰的鍊金術師》是？
MAIN_TEXT_1	人們的”意志”被“眾神之石”所玩弄。<br>人類是在“創造”和“喪失”的不斷輪迴下編織歷史。這是創造出萬物的“石頭”在與“人”打交道時留下的記憶——<br>以7個主人公和7個國家所編織的人間劇場為背景的策略RPG。
MENU_CATE_2	世界觀
MENU_2	鍊金術
MAIN_TITLE_2	鍊金術
MAIN_TEXT_2	鍊金術是指在“等價交換”前提下可以創造所有東西。 <br>其中包括靈魂，鍊金術師將過去的武人或者英雄們的靈魂鍊金，使其具象化。這樣的靈魂特別稱為“英靈”。
MENU_CATE_3	世界觀
MENU_3	英靈
MAIN_TITLE_3	英靈
MAIN_TEXT_3	鍊金術師將過去的武人或者英雄們的靈魂鍊金，使其具象化。這樣的靈魂特別稱為“英靈”。
MENU_CATE_4	世界觀
MENU_4	尼姆爾和艾梅爾
MAIN_TITLE_4	尼姆爾和艾梅爾
MAIN_TEXT_4	在十分悠久的過去...在這片土地上有著以神為目標的人。這就是尼姆爾和艾梅爾，也就是被後世稱為鍊金始祖的兄妹。他們以禁忌之術，建造了通天之塔。
MENU_CATE_5	世界觀
MENU_5	巴貝爾之塔
MAIN_TITLE_5	巴貝爾塔
MAIN_TEXT_5	鍊金術始祖的尼姆爾和艾梅爾，作為統一世界的象徵，以鍊金術的力量製造了“通天之塔”。矗立在大陸中心，大陸上的哪個國家都能看見。直到現在，還被稱作為“人類所犯的愚蠢大罪的象徵”。
MENU_CATE_6	世界觀
MENU_6	巴貝爾大陸
MAIN_TITLE_6	巴貝爾大陸
MAIN_TEXT_6	臨近巴貝爾塔的巴貝爾大陸<br>宗主國諾森布萊特。在它周圍，北邊是斯洛烏斯修泰，東邊是路斯特布魯格、格里特達伊克，西邊是安比利亞、和舊拉斯特里斯以及沙漠地帶。沙漠地帶往北，格拉特尼弗斯、撒加地方這些廣闊的大陸就是巴貝爾大陸。
MENU_CATE_7	世界觀
MENU_7	巴貝爾七大國
MAIN_TITLE_7	巴貝爾七大國
MAIN_TEXT_7	在過去，巴貝爾大陸上以鍊金術的力量作為武器來使用的七個國家之間的戰爭一直持續著。因為戰爭造成的巨大災難，甚至危及人類存亡的大陸諸國，以諾森布萊特為宗主國的七大國結盟，並規定鍊金術為禁忌。
MENU_CATE_8	世界觀
MENU_8	賢者之石
MAIN_TITLE_8	賢者之石
MAIN_TEXT_8	獲得賢者之石的人，被視為觸犯鍊金術禁忌。
MENU_CATE_9	世界觀
MENU_9	烏洛波洛斯
MAIN_TITLE_9	烏洛波洛斯
MAIN_TEXT_9	被稱為“真理之門”的異空間裡存在“烏洛波洛斯”。但是，只有與真理之門締結契約的人才能看到她。和烏洛波洛斯締結契約，即使沒有賢者之石也能獲得禁忌力量的鍊金術，可以創造萬物。
MENU_CATE_10	世界觀
MENU_10	真理之門
MAIN_TITLE_10	真理之門
MAIN_TEXT_10	與烏洛波洛斯締結契約的地方，就是真理之門。持有強韌靈魂的人接觸到賢者之石的話，會出現真理之門。在真理之門和烏洛波洛斯締結契約，可以獲得禁忌之力。但是如果“魂”的精神力崩潰時，作為代價，“魂”會被真理之門吞噬。
MENU_CATE_11	副本
MENU_11	關於劇情副本
MAIN_TITLE_11	關於劇情副本
MAIN_TEXT_11	劇情副本中有“普通”“困難”等各種難度的副本。特定的“普通副本”通關後，可以挑戰“困難”模式。“困難”模式中可以獲得英靈的“魂之碎片”。挑戰次數在規定時間進行重置以後，也需要玩家重新登錄遊戲哦。
MENU_CATE_12	副本
MENU_12	關於限時副本
MAIN_TITLE_12	關於限時副本
