001	...迪歐斯...<br>難道我們無法再共同前行了嗎...	tut001a.logi_story0101_0003
002	洛基！　我來結束這一切吧。<br>切斷仇恨的鎖鏈！<br>用我的『鍊金術』之力！	tut001a.dios_story0101_0003
003	住手！！<br>為什麼你們非要戰鬥不可！！	tut001a.agasa_story0101_0001
004	為何...是什麼讓你改變了！<br>我們三人的誓言，<br>你難道都忘了嗎？！	tut001a.logi_story0101_0004
005	住口！<br>就算世界的秩序分崩離析...<br>我也要拯救世界！	tut001a.dios_story0101_0004
006	你錯了！！<br>『鍊金術』是救不了這個世界的！！	tut001a.logi_story0101_0005
007	這個世界沒有什麼是<br>改變不了的！	tut001a.dios_story0101_0005
007a	如果有的話...<br>『絕對的力量』就是正義<br>才是世上的真理！	tut001a.dios_story0101_0005_02
008	為什麼，迪歐斯？！<br>在不斷改變的世界中<br>不是仍然存在不變的事物嗎！！	tut001a.logi_story0101_0006
008a	這就是我們之間的羈絆！！	tut001a.logi_story0101_0006_02
009	光憑理想無法改變什麼...<br>我已經意識到這一點了。<br>	tut001a.dios_story0101_0006
009a	我們是騎士，<br>信仰的道路若不同，<br>就用這劍來證明吧！！	tut001a.dios_story0101_0006_02
